CODIGO;DENOMINACION;TIPOELEM;VIDRIO;ACABADO
PAV.0302.L.BM03;BASTIDOR PARA FIJO PA (U) 3 PARED A MEDIDA LACA BLANCO MAT 9003;BASTIDOR 3 -U-;;LACA BLANCO MAT 9003
PAV.0302.L.NMT;BASTIDOR PARA FIJO PA (U) 3 PARED A MEDIDA LACA NEGRO MATE TEXT;BASTIDOR 3 -U-;;LACA NEGRO MATE TEXT
PAV.0302.L.C;BASTIDOR PARA FIJO PA (U) 3 PARED A MEDIDA LACADO CORTEN;BASTIDOR 3 -U-;;LACADO CORTEN
PAV.0302.C.RB;BASTIDOR PARA FIJO PA (U) 3 PARED A MEDIDA CHAPA ROBLE;BASTIDOR 3 -U-;;CHAPA ROBLE
PAV.0302.C.NG;BASTIDOR PARA FIJO PA (U) 3 PARED A MEDIDA CHAPA NOGAL;BASTIDOR 3 -U-;;CHAPA NOGAL
;;;;
PAV.0401.L.BM03;BASTIDOR PARA FIJO PA 4 PARED A MEDIDA LACA BLANCO MAT 9003;BASTIDOR 4;;LACA BLANCO MAT 9003
PAV.0401.L.NMT;BASTIDOR PARA FIJO PA 4 PARED A MEDIDA LACA NEGRO MATE TEXT;BASTIDOR 4;;LACA NEGRO MATE TEXT
PAV.0401.L.C;BASTIDOR PARA FIJO PA 4 PARED A MEDIDA LACADO CORTEN;BASTIDOR 4;;LACADO CORTEN
PAV.0401.C.RB;BASTIDOR PARA FIJO PA 4 PARED A MEDIDA CHAPA ROBLE;BASTIDOR 4;;CHAPA ROBLE
PAV.0401.C.NG;BASTIDOR PARA FIJO PA 4 PARED A MEDIDA CHAPA NOGAL;BASTIDOR 4;;CHAPA NOGAL
;;;;
PAV.0501.L.BM03;PUERTA PA MONT PIVOTANTE LACA BLANCO MAT 9003 + VIDRIO TRANSPAR;PIVOTANTE;TRANSPAR;LACA BLANCO MAT 9003
PAV.0501.L.NMT;PUERTA PA MONT PIVOTANTE LACA NEGRO MATE TEXT + VIDRIO TRANSPAR;PIVOTANTE;TRANSPAR;LACA NEGRO MATE TEXT
PAV.0501.L.C;PUERTA PA MONT PIVOTANTE LACADO CORTEN + VIDRIO TRANSPAR;PIVOTANTE;TRANSPAR;LACADO CORTEN
PAV.0501.C.RB;PUERTA PA MONT PIVOTANTE CHAPA ROBLE + VIDRIO TRANSPAR;PIVOTANTE;TRANSPAR;CHAPA ROBLE
PAV.0501.C.NG;PUERTA PA MONT PIVOTANTE CHAPA NOGAL + VIDRIO TRANSPAR;PIVOTANTE;TRANSPAR;CHAPA NOGAL
PAV.0502.L.BM03;PUERTA PA MONT PIVOTANTE LACA BLANCO MAT 9003 + VIDRIO MATE ;PIVOTANTE;MATE ;LACA BLANCO MAT 9003
PAV.0502.L.NMT;PUERTA PA MONT PIVOTANTE LACA NEGRO MATE TEXT + VIDRIO MATE ;PIVOTANTE;MATE ;LACA NEGRO MATE TEXT
PAV.0502.L.C;PUERTA PA MONT PIVOTANTE LACADO CORTEN + VIDRIO MATE ;PIVOTANTE;MATE ;LACADO CORTEN
PAV.0502.C.RB;PUERTA PA MONT PIVOTANTE CHAPA ROBLE + VIDRIO MATE ;PIVOTANTE;MATE ;CHAPA ROBLE
PAV.0502.C.NG;PUERTA PA MONT PIVOTANTE CHAPA NOGAL + VIDRIO MATE ;PIVOTANTE;MATE ;CHAPA NOGAL
PAV.0503.L.BM03;PUERTA PA MONT PIVOTANTE LACA BLANCO MAT 9003 + VIDRIO BRONCE;PIVOTANTE;BRONCE;LACA BLANCO MAT 9003
PAV.0503.L.NMT;PUERTA PA MONT PIVOTANTE LACA NEGRO MATE TEXT + VIDRIO BRONCE;PIVOTANTE;BRONCE;LACA NEGRO MATE TEXT
PAV.0503.L.C;PUERTA PA MONT PIVOTANTE LACADO CORTEN + VIDRIO BRONCE;PIVOTANTE;BRONCE;LACADO CORTEN
PAV.0503.C.RB;PUERTA PA MONT PIVOTANTE CHAPA ROBLE + VIDRIO BRONCE;PIVOTANTE;BRONCE;CHAPA ROBLE
PAV.0503.C.NG;PUERTA PA MONT PIVOTANTE CHAPA NOGAL + VIDRIO BRONCE;PIVOTANTE;BRONCE;CHAPA NOGAL
PAV.0504.L.BM03;PUERTA PA MONT PIVOTANTE LACA BLANCO MAT 9003 + VIDRIO GRIS;PIVOTANTE;GRIS;LACA BLANCO MAT 9003
PAV.0504.L.NMT;PUERTA PA MONT PIVOTANTE LACA NEGRO MATE TEXT + VIDRIO GRIS;PIVOTANTE;GRIS;LACA NEGRO MATE TEXT
PAV.0504.L.C;PUERTA PA MONT PIVOTANTE LACADO CORTEN + VIDRIO GRIS;PIVOTANTE;GRIS;LACADO CORTEN
PAV.0504.C.RB;PUERTA PA MONT PIVOTANTE CHAPA ROBLE + VIDRIO GRIS;PIVOTANTE;GRIS;CHAPA ROBLE
